Year,Song Name,Artist,Number of Weeks On Top,Spotify ID
2002,Give It To Her,Tanto Metro & Devonte,20,00FU5uypELwgQuM9IbFC6G
2002,Rainy Dayz,Mary J. Blige Featuring Ja Rule,20,1F1XjwRzMh8KT2BvH6ISkG
2002,Feels Good (Don't Worry Bout A Thing),Naughty By Nature Featuring 3LW,20,3uh7YcFzAWHGg7spVzPfqP
2002,I Don't Have To Be Me ('til Monday),Steve Azar,20,5v1bA7NmQcQHvH9IDkeeF4
2002,Living And Living Well,George Strait,20,5bjLSSfyZnPynAJ9mzSIF3
2002,Hella Good,No Doubt,20,6AfLmKXzhEZjwiVPs5jhdV
2002,Addictive,Truth Hurts Featuring Rakim,20,36jSIOSE72neBbKntCthqw
2002,You Know That I Love You,Donell Jones,20,5QiTs0egWAq0k2O8HWKoEP
2002,I'm Gonna Miss Her (The Fishin' Song),Brad Paisley,20,1NQT2M4q3GTBk1ZHXaN9s4
2002,Full Moon,Brandy,20,6QxuZMdsElzjC1NnXUfl8c
2002,Without Me,Eminem,20,7lQ8MOhq6IN2w8EYcFNSUk
2002,Someone To Love You,Ruff Endz,20,2LrvK045zLQyt4s9n1QSBA
2002,Days Go By,Dirty Vegas,20,2RLpFEf6d0708O7Bqhjyxg
2002,The One,Gary Allan,20,3bshjjlr63HkgFFxdA8mvg
2002,Walking Away,Craig David,20,3R7fjB38qajI6JR69y5k4e
2002,Drift & Die,Puddle Of Mudd,20,0pEBL0Jl8ak9vEJu8nW9oL
2002,Grindin',Clipse,20,3XrvEifl0hIzgBGUa5jBLS
2002,The Good Stuff,Kenny Chesney,20,1EKiQ1InQXuodp4M1idrng
2002,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,20,0M7mWKqwTIaVjYyxfZmtTa
2002,By The Way,Red Hot Chili Peppers,20,1f2V8U1BiWaC9aJWmpOARe
2002,I Miss My Friend,Darryl Worley,20,0qnoS5hMZMphvKWi0D2LQh
2002,Where Are You Going,Dave Matthews Band,20,15MhLnkZLJe4Z2tLISwe5k
2002,Long Time Gone,Dixie Chicks,20,0JiX8NsRdCHm8GliFuf97V
2002,Down 4 U,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",20,
2002,Just Like A Pill,P!nk,20,1BpV8IGf4XsRRJf4Xuui9q
2002,Unbroken,Tim McGraw,20,3kHg8K1ilUqkSPURdqd6dL
2002,Ten Rounds With Jose Cuervo,Tracy Byrd,20,1ZE0BKf8zRD6DLif1BG9x0
2002,Running Away,Hoobastank,20,6xdSzlVVKW3fQidPxBImTG
2002,Two Wrongs,Wyclef Jean Featuring Claudette Ortiz,20,11PQ9qtLuvJmIriOR5SpS5
2002,Good Times,Styles,20,7cFpB4ozcSwXuhqjvNbrbP
2003,Unwell,matchbox twenty,41,6Bm6qUCSatPAqkQllFL7oA
2003,When I'm Gone,3 Doors Down,39,3WbphvawbMZ8FyqDxYGdSQ
2003,Headstrong,Trapt,36,1AEYT6VxrxXPMoQUxsY0E4
2003,Drift Away,Uncle Kracker Featuring Dobie Gray,35,0RFgvrhkf9FiDRLA0BhzpZ
2003,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,35,2ajUxpHW8NJWV6LnbhaZTI
2003,Ignition,R. Kelly,34,5dNfHmqgr128gMY2tc5CeJ
2003,Right Thurr,Chingy,33,0l3GEbH3CviUytD6iX4wzg
2003,Get Busy,Sean Paul,32,6bK9BH9Ts8Gj5JFvnQkzak
2003,Bring Me To Life,Evanescence Featuring Paul McCoy,32,0COqiPhxzoWICwFCS4eZcp
2003,No Letting Go,Wayne Wonder,31,5dWfl2PBpKHpBVdz95wxK1
2003,In Da Club,50 Cent,30,7iL6o9tox1zgHpKUfh9vuC
2003,Picture,Kid Rock Featuring Sheryl Crow Or Allison Moorer,29,69j0KoPJuwpnbGWrfn7Yll
2003,Calling All Angels,Train,29,0E29BKKGCJHcb7b9oIWgGB
