Year,Number of Weeks On Top,Spotify ID,track_name,track_artist,track_popularity,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
2004,26,6si71supnBUhddjR2FJc2L,White Flag,Dido,68.0,rock,0.509,0.537,-6.834,0.0383,0.344,7.26e-06,0.315,170.037,240040.0
2004,25,5lJx5eiSahFfsqkMJVlkDN,I'm Still in Love with You (feat. Sasha),Sean Paul,68.0,"hip hop, pop",0.765,0.666,-5.384,0.172,0.102,0.0,0.756,87.002,273360.0
2004,25,5g1vtHqi9uV7xtYeCcFOBx,Jesus Walks,Kanye West,8.0,rap,0.427,0.844,-4.597,0.427,0.578,0.0,0.716,85.346,193733.0
2004,25,0BBOLOV5JntPL3341swIre,Turn Me On,Kevin Lyttle,65.0,latin,0.677,0.682,-6.879,0.0361,0.0405,0.0,0.875,106.279,192107.0
2004,23,72zZfHPYx43shcP3eKkYi5,Are You Gonna Be My Girl,Jet,74.0,rock,0.613,0.953,-3.435,0.0855,0.00148,0.000582,0.537,105.046,213800.0
2004,21,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,OutKast,78.0,latin,0.728,0.974,-2.261,0.0665,0.103,0.000532,0.965,79.526,235213.0
2004,21,,Roses,OutKast,71.0,rap,0.751,0.708,-5.645,0.0545,0.0481,1.83e-05,0.509,108.97,369573.0
2004,21,10BwOTqtnekIrXPc5Zh4QC,Pieces Of Me,Ashlee Simpson,54.0,pop,0.532,0.807,-4.301,0.057,0.0584,0.0,0.759,87.183,217440.0
2004,20,1rSo624QuuCteNxAzsU3SV,Megalomaniac,Incubus,55.0,rock,0.532,0.943,-4.549,0.0512,0.0056,0.000587,0.371,140.042,294800.0
2004,20,6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,78.0,pop,0.774,0.838,-3.914,0.114,0.0249,0.025,0.924,143.04,198800.0
2004,20,5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,Kanye West,11.0,rap,0.643,0.717,-4.876,0.506,0.184,0.0,0.46,90.893,223507.0
2004,20,1oTo3ijRbaDAtrjJrGAPSw,I Miss You,blink-182,0.0,pop,0.423,0.776,-6.485,0.0452,0.000843,8e-06,0.569,109.991,226905.0
2004,20,4tAru66VGVLWYjg90UV4vJ,Culo,Pitbull,50.0,latin,0.858,0.656,-4.96,0.358,0.114,0.0,0.969,59.972,219080.0
2004,20,23oxJmDc1V9uLUSmN2LIvx,Ocean Avenue Acoustic,Yellowcard,44.0,latin,0.555,0.773,-7.049,0.0297,0.000321,0.000132,0.863,162.035,219663.0
2004,20,4MMqj7HaLL8BphbBZnlsdq,I Like That,Houston,59.0,"hip hop, pop",0.797,0.502,-3.925,0.0968,0.0154,0.0,0.385,106.997,236520.0
2004,20,3dxiWIBVJRlqh9xk144rf4,Breaking the Habit,Linkin Park,65.0,rock,0.579,0.849,-5.218,0.0303,0.108,0.0,0.581,100.021,196907.0
2004,19,1OutzYv6YiN93lrT3pJsWR,It's My Life,No Doubt,1.0,alt-rock,0.606,0.75,-4.535,0.0306,0.0026,0.000795,0.771,126.316,225866.0
2005,44,6JY1IdkZGeIcPegKxjSKeb,Since U Been Gone,Kelly Clarkson,68.0,pop,0.662,0.739,-5.354,0.0322,0.00206,0.0603,0.382,130.999,188960.0
2005,38,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,77.0,rock,0.352,0.928,-3.71,0.0758,0.00113,0.0,0.239,148.026,222107.0
2005,38,3TAtUJc4Sj913Cs5gBUeu0,Scars,Papa Roach,64.0,rock,0.471,0.936,-3.354,0.0448,0.0783,0.0,0.45,89.881,208186.0
2005,38,1yKu2MhpwzDXXH2tzG6xoa,Beverly Hills,Weezer,69.0,rock,0.693,0.823,-3.761,0.0726,0.0932,0.0,0.741,87.904,196093.0
2005,38,4EI8VuxUuIHKfafU72emqz,We Belong Together,Mariah Carey,69.0,"pop, R&B",0.84,0.476,-7.918,0.0629,0.0264,0.0,0.767,139.987,201400.0
2005,35,5Vydertp8B94fxteuUG1MV,Don't Cha,The Pussycat Dolls,66.0,pop,0.877,0.637,-3.493,0.101,0.00516,2.5e-06,0.569,119.988,272080.0
2005,34,0AKAxdNkwq9ZxRdW1DN9zW,Behind These Hazel Eyes,Kelly Clarkson,59.0,"pop, R&B",0.548,0.889,-4.682,0.0382,0.00165,0.00109,0.425,90.048,198973.0
2005,32,5rwq6R0Uq0BngM3rdmCeNg,Collide - Acoustic Version,Howie Day,69.0,latin,0.582,0.253,-11.43,0.0259,0.827,2.95e-05,0.294,90.184,277000.0
